s.Oliver,2,"soliver.com, soliver.eu",,4,4,4,5.5,0.8,0.4,0.6,0.1,https://directory.goodonyou.eco/brand/soliver,Germany
Saint Laurent,4,ysl.com,Kering,8,6,4,8.5,8.5,4.5,4.7,1.1,https://directory.goodonyou.eco/brand/saint-laurent,France
Salvatore Ferragamo,4,ferragamo.com,,4,4,4,6.7,6.2,2.6,2.4,0.1,https://directory.goodonyou.eco/brand/salvatore-ferragamo,Italy
Sandro,4,sandro-paris.com,SMCP,4,2,4,3.9,0.8,0.9,0.5,0,https://directory.goodonyou.eco/brand/sandro,France
SHEIN,3,shein.com,,2,2,4,0.8,0,0,0,0,https://directory.goodonyou.eco/brand/shein,China
Stradivarius,1,stradivarius.com,Inditex,4,4,4,8.9,6.2,3.4,4.2,0.1,https://directory.goodonyou.eco/brand/stradivarius,Spain
Superdry,3,"superdry.com, https://www.superdrystore.ca/",,6,4,6,8,6.2,2.1,4.1,0.1,https://directory.goodonyou.eco/brand/superdry,United Kingdom
Takko,-,takko.com,,2,6,8,3.4,0,1.7,0.7,0.5,https://directory.goodonyou.eco/brand/takko ,-
Target Australia,1,target.com.au,Wesfarmers,4,4,6,8.6,6.2,5.3,4.5,5.5,https://directory.goodonyou.eco/brand/target-australia,United States
Ted Baker,2,tedbaker.com,,4,4,4,5.5,1.5,0.9,1.2,2.6,https://directory.goodonyou.eco/brand/ted-baker ,United Kingdom
The North Face,3,thenorthface.com,VF Corporation,6,6,8,9.2,6.2,5.3,4.7,8.4,https://directory.goodonyou.eco/brand/the-north-face,United States
Timberland,2,"timberland.com, timberland.ca",VF Corporation,6,4,6,9.2,6.2,5.3,4.7,8.4,https://directory.goodonyou.eco/brand/timberland,United States
Tod's,3,tods.com,,4,4,4,3.3,3.8,1.5,1.3,0,https://directory.goodonyou.eco/brand/tods,Italy
Tom Ford,4,tomford.com,,2,2,0,0.2,0,0,0,0,https://directory.goodonyou.eco/brand/tom-ford ,United States
Tom Tailor,2,"tom-tailor.com, tom-tailor.eu",,4,4,6,6.6,3.1,3,1.8,6.9,https://directory.goodonyou.eco/brand/tom-tailor,Germany
Tommy Hilfiger,2,"global.tommy.com, usa.tommy.com",PVH,6,6,4,8.9,4.6,5.1,4.2,7.2,https://directory.goodonyou.eco/brand/tommy-hilfiger ,United States
Tory Burch,3,toryburch.com,,2,2,0,0.3,0,0,0,0,https://directory.goodonyou.eco/brand/tory-burch,United States
Under Armour,2,underarmour.com,,4,4,4,5.1,2.3,2.1,0.7,2.4,https://directory.goodonyou.eco/brand/under-armour,United States
Uniqlo,1,uniqlo.com,Fast Retailing,6,4,6,8.6,4.6,4.3,3.3,3.2,https://directory.goodonyou.eco/brand/uniqlo,Japan
United Colors of Benetton,2,world.benetton.com,,4,6,4,9.2,4.6,4,3.7,8.5,https://directory.goodonyou.eco/brand/united-colors-of-benetton,Italy
Urban Outfitters,3,urbanoutfitters.com,Urban Outfitters,4,4,4,4,3.1,1.5,1.8,0,https://directory.goodonyou.eco/brand/urban-outfitters ,United States
Valentino,4,valentino.com,,4,4,4,3.1,1.5,1.1,0.2,0,https://directory.goodonyou.eco/brand/valentino,Italy
Van Heusen,2,vanheusen.com,PVH,6,6,4,8.9,4.6,5.1,4.2,7.2,https://directory.goodonyou.eco/brand/van-heusen,United States
Vans,2,vans.com,VF Corporation,4,4,6,9.2,6.2,5.3,4.5,8.4,https://directory.goodonyou.eco/brand/vans,United States
Vero Moda,2,veromoda.com,Bestseller A/S,6,4,6,6.4,3.1,1.3,1.6,2.6,https://directory.goodonyou.eco/brand/vero-moda,Denmark
Versace,4,versace.com,Capri Holdings,4,4,4,5.8,3.1,1.7,0.8,0.1,https://directory.goodonyou.eco/brand/versace,Italy
Very,2,very.co.uk,The Very Group,4,4,6,7,1.5,1.7,1.1,0.2,https://directory.goodonyou.eco/brand/very,United Kingdom
Walmart,1,walmart.com,Walmart Inc.,4,4,4,7.7,6.2,3.2,1.8,0.1,https://directory.goodonyou.eco/brand/walmart ,United States
Wrangler,2,wrangler.com,Kontoor,6,4,4,7.4,2.3,1.1,2.3,4.6,https://directory.goodonyou.eco/brand/wrangler,United States
Zara,1,zara.com,Inditex,4,4,4,8.9,6.2,3.4,4.2,0.1,https://directory.goodonyou.eco/brand/zara,Spain
Zeeman,1,zeeman.com,,4,4,6,7,5.4,3,2.3,4.2,https://directory.goodonyou.eco/brand/zeeman ,Netherlands
